Domain,Oldest Month,Newest Month,Ranking Change,Traffic Change,Value Change,Rank Change,Status
salemplasticsurgery.com,2025-07,2025-09,249,782,870.00,2.0,DECLINING
aestheticinstitute.ie,2025-07,2025-09,19,-515,-877.00,0.8,DECLINING
coppellwellness.com,2025-07,2025-09,24,76,70.06,33.5,DECLINING
healthwestchiro.com,2025-07,2025-09,0,0,0.00,0.0,GROWING
100percentdoc.com,2025-07,2025-09,0,0,0.00,0.0,GROWING
axiominjury.com,2025-07,2025-09,20,7,-58.60,-2.5,DECLINING
houstonbackandneck.com,2025-07,2025-09,2,1,88.25,19.8,DECLINING
alignwc.com,2025-07,2025-09,-614,-1050,-1050.00,0.2,DECLINING
infinityspine.com,2025-07,2025-09,1,-6,0.00,14.4,DECLINING
painreliefkc.com,2025-07,2025-09,-40,-37,-331.00,5.0,DECLINING
